Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Gene family description	Ensembl ID (mapped data supplied by Ensembl)
C1orf122		FLJ45459	NM_198446		ENSG00000197982
C1orf123		FLJ20580	NM_017887		ENSG00000162384
C1orf124		DKFZP547N043	NM_032018		ENSG00000010072
C1orf126		FLJ23703	NM_182534		ENSG00000175147
C1orf127		FLJ37118	NM_173507		ENSG00000175262
C1orf129		FLJ23550, ARMC11	NM_025063		ENSG00000117501
C1orf130		FLJ42528	NM_001010980		ENSG00000184454
C1orf131		DKFZp547B1713	NM_152379		ENSG00000143633
C1orf132		FLJ35650			ENSG00000203709
C1orf133			XM_001134414		ENSG00000203706
C1orf134					ENSG00000204377
C1orf135		MGC2603	NM_024037		ENSG00000127423
C1orf136~withdrawn					
C1orf137			NM_001013643		ENSG00000203864
C1orf138		FLJ45786			ENSG00000203804
C1orf140~withdrawn					
C1orf141			NM_001013674		ENSG00000203963
C1orf143			XM_496434		ENSG00000228208
C1orf144		DKFZp566C0424	NM_015609		ENSG00000055070
C1orf145		FLJ31994			ENSG00000162913
C1orf146			NM_001012425		ENSG00000203910
C1orf147		FLJ32597			ENSG00000162888
C1orf148		FLJ32878			ENSG00000203684
C1orf150		FLJ44728	NM_145278		ENSG00000169224
C1orf158		MGC35194	NM_152290		ENSG00000157330
C1orf159		FLJ20584	NM_017891		ENSG00000131591
C1orf162		MGC24133	NM_174896		ENSG00000143110
C1orf167		DKFZp434E1410, RP11-56N19.2			ENSG00000215910
C1orf168		RP4-758N20.2, FLJ43208	NM_001004303		ENSG00000187889
C1orf170		MGC13275, RP11-54O7.8			ENSG00000187642
C1orf172		FLJ34633, RP11-344H11.3	NM_152365		ENSG00000175707
C1orf173		DKFZp547I048, RP11-653A5.1	NM_001002912		ENSG00000178965
C1orf174		RP13-531C17.2	NM_207356		ENSG00000198912
C1orf177		FLJ40201	NM_152607		ENSG00000162398
C1orf178~withdrawn					
C1orf180		FLJ35487	NM_173820		ENSG00000180869
C1orf182		SSTK-IP	NM_144627		ENSG00000163467
C1orf185		FLJ27485	XM_209252		ENSG00000204006
C1orf186		FLJ16052	NM_001007544		ENSG00000196533
C1orf187		FLJ34999	NM_198545		ENSG00000162490
C1orf188~withdrawn					
C1orf189			NM_001010979		ENSG00000163263
C1orf191		MSTP128			ENSG00000198711
C1orf192			NM_001013625		ENSG00000188931
C1orf193~withdrawn					
C1orf194			NM_001122961		ENSG00000179902
C1orf195		OTTHUMG00000037852			ENSG00000204464
C1orf196		OTTHUMG00000008026			ENSG00000218328
C1orf197~withdrawn					
C1orf198		FLJ14525, MGC10710, FLJ16283, DKFZp667D152, FLJ38847	NM_032800		ENSG00000119280
C1orf200			NM_001045478		ENSG00000179840
C1orf201		FLJ33340	NM_178122		ENSG00000001460
C1orf204		FLJ39187			ENSG00000188004
C1orf210		MGC52423	NM_182517		ENSG00000253313
C1orf212		FLJ90372	NM_138428		ENSG00000163866
C1orf213		FLJ90508	NM_138479		ENSG00000249087
C1orf215~withdrawn					
C1orf216		FLJ38984	NM_152374		ENSG00000142686
C1orf218~withdrawn					
C1orf220		FLJ35530	NM_207467		ENSG00000213057
C1orf222			NM_001003808		ENSG00000142609
C1orf226		FLJ13137	NM_001085375		ENSG00000239887
C1orf227		LOC149643	NM_001024601		ENSG00000185523
C1orf228	NCRNA00082	MGC33556, p40	NM_001145636		ENSG00000198520
C1orf229		FLJ45717	NM_207401		ENSG00000221953
C1orf233			NM_001242659		
C1QA			NM_015991	"Complement system"	ENSG00000173372
C1QB			NM_000491	"Complement system"	ENSG00000173369
C1QBP	HABP1	gC1Q-R, gC1qR, p32, SF2p32	NM_001212		ENSG00000108561
C1QBPP					ENSG00000215353
C1QC	C1QG		NM_172369	"Complement system"	ENSG00000159189
C1QL1		CRF, C1QRF, C1QTNF14	NM_006688		ENSG00000131094
C1QL2		CTRP10, C1QTNF10	NM_182528		ENSG00000144119
C1QL3		K100, C1ql, C1QTNF13, CTRP13	XM_372305		ENSG00000165985
C1QL4		C1QTNF11	NM_001008223		ENSG00000186897
C1QTNF1		CTRP1, ZSIG37, GIP, FLJ90694	NM_030968		ENSG00000173918
C1QTNF2		CTRP2			ENSG00000145861
C1QTNF3		CTRP3, Cors, Corcs, 2310005P21Rik, Cors-26	NM_030945		ENSG00000082196
C1QTNF4		CTRP4, ZACRP4	NM_031909		ENSG00000172247
C1QTNF5		CTRP5, DKFZp586B0621, LORD	NM_015645		ENSG00000223953
C1QTNF6		CTRP6, ZACRP6	NM_182486		ENSG00000133466
C1QTNF7		CTRP7			ENSG00000163145
C1QTNF8		UNQ5829, CTRP8	XM_372606		ENSG00000184471
C1QTNF9		MGC48915, CTRP9, C1QTNF9A, AQL1	NM_178540		ENSG00000240654
C1QTNF9-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000240868
C1QTNF9B		CTRP9B	NM_001007537		ENSG00000205863
C1QTNF9B-AS1		PCOTH		"ncRNAs / Long non-coding RNAs"	ENSG00000205861
C1R				"Complement system"	ENSG00000159403
C1RL		C1r-LP, C1RL1	NM_016546		ENSG00000139178
C1S			NM_001734	"Complement system"	ENSG00000182326
C2				"Complement system"	
C2CD2	C21orf25	TMEM24L, DKFZP586F0422, C21orf258	NM_015500		ENSG00000157617
C2CD2L	TMEM24	KIAA0285	NM_014807		ENSG00000172375
C2CD3		DKFZP586P0123	NM_015531		ENSG00000168014
C2CD4A	FAM148A	NLF1	NM_207322		ENSG00000198535
C2CD4B	FAM148B	NLF2	NM_001007595		ENSG00000205502
C2CD4C	KIAA1957, FAM148C	NLF3	XM_065166		ENSG00000183186
C2CD4D		FAM148D	NM_001136003		ENSG00000225556
C2orf1~withdrawn					
C2orf12~withdrawn					
C2orf15		MGC29762	NM_144706		ENSG00000241962
C2orf16		DKFZp434G118	NM_032266		ENSG00000221843
C2orf18		FLJ20555	NM_017877		ENSG00000213699
C2orf20~withdrawn					
C2orf27A	C2orf27		NM_013310		ENSG00000197927
C2orf27AP1					
C2orf27B		MGC50273	NM_214461		ENSG00000186825
C2orf28		HSPC013, p18, APR3	NM_016085		ENSG00000138085
C2orf29		C40	NM_017546		ENSG00000158435
C2orf31~withdrawn					
C2orf40		ECRG4	NM_032411		ENSG00000119147
C2orf42		FLJ20558	NM_017880		ENSG00000115998
C2orf43		FLJ21820	NM_021925		ENSG00000118961
C2orf44		FLJ21945	NM_025203		ENSG00000163026
C2orf47		DKFZp666A212, FLJ22555	NM_024520		ENSG00000162972
C2orf48		FLJ25102	NM_182626		ENSG00000163009
C2orf49		MGC5509, asw	NM_024093		ENSG00000135974
C2orf50		FLJ25143	NM_182500		ENSG00000150873
C2orf51		FLJ25369, TSC21	NM_152670		ENSG00000172073
C2orf53		MGC44505	NM_178553		ENSG00000186143
C2orf54		FLJ22671	NM_024861, NM_001085437		ENSG00000172478
C2orf55		MGC42367	NM_207362		ENSG00000196872
C2orf56		PRO1853, MidA	NM_144736		ENSG00000003509
C2orf57		MGC35154	NM_152614		ENSG00000177673
C2orf61		FLJ40172	NM_173649		ENSG00000239605
C2orf62		MGC50811	NM_198559		ENSG00000158428
C2orf63		FLJ31438	NM_152385		ENSG00000162994
C2orf65		D6Mm5e	NM_138804		ENSG00000159374
C2orf66		UNQ6411	NM_213608		ENSG00000187944
C2orf68			NM_001013649		ENSG00000168887
C2orf69		FLJ38973	NM_153689		ENSG00000178074
C2orf70		LOC339778	NM_001105519		ENSG00000173557
C2orf71		FLJ34931	NM_001029883		ENSG00000179270
C2orf72		LOC257407	XM_001132119		ENSG00000204128
C2orf73		FLJ40298	NM_001100396		ENSG00000177994
C2orf74		LOC339804	XM_291016		ENSG00000237651
C2orf76		MGC104437, LOC130355, AIM29	NM_001017927		ENSG00000186132
C2orf77		LOC129881	NM_001085447		ENSG00000154479
C2orf78		FLJ43987, hCG1989538, COG5373	NM_001080474		ENSG00000187833
C2orf80		LOC389073	NM_001099334		ENSG00000188674
C2orf81		LOC388963, hCG40743	XM_371503		ENSG00000159239
C2orf82		UNQ830, ASCL830	NM_206895		ENSG00000182600
C2orf83		DKFZp547H025	NM_020161		ENSG00000042304
C2orf84		FLJ30851	NM_001040710		ENSG00000186453
C2orf88		MGC13057	NM_032321		ENSG00000187699
C2orf89			NM_001080824		ENSG00000186854
C2orf90			NM_001013662		
C2orf91			NM_001242815		
C3		CPAMD1	NM_000064	"Complement system"	ENSG00000125730
C3AR1		C3AR, AZ3B		"Complement system"	ENSG00000171860
C3CER1		CER1			
C3orf7~withdrawn					
C3orf14		HT021	NM_020685		ENSG00000114405
C3orf15		AAT1, AAT1alpha	NM_033364		ENSG00000183833
C3orf17		DKFZP434F2021, NET17	NM_015412		ENSG00000163608
C3orf18		G20	NM_016210		ENSG00000088543
C3orf19		FLJ33839	NM_016474		ENSG00000154781
C3orf20		DKFZP434N1817	NM_032137		ENSG00000131379
C3orf22		MGC34728	NM_152533		ENSG00000180697
C3orf23		DKFZp313N0621	NM_173826		ENSG00000179152
C3orf24		MGC40179	NM_173472		ENSG00000163705
C3orf25			NM_207307		ENSG00000172771
C3orf26		MGC4308	NM_032359		ENSG00000184220
C3orf27		GR6	NM_007354		ENSG00000198685
C3orf30		FLJ32859	NM_152539		ENSG00000163424
C3orf32		fls485, SSU-2	NM_015931		ENSG00000125046
C3orf33		FLJ31139, AC3-33	NM_173657		ENSG00000174928
C3orf35		APRG1	NM_178338		ENSG00000198590
C3orf36		FLJ22173	NM_025041		ENSG00000221972
C3orf37		DC12	NM_020187		ENSG00000183624
C3orf38		MGC26717	NM_173824		ENSG00000179021
C3orf39		FLJ14566, AGO61	NM_032806		ENSG00000144647
C3orf43		FLJ41923, DKFZp313B0440	XM_173087		ENSG00000214097
C3orf45		FLJ38608	NM_153215		ENSG00000179564
C3orf49					ENSG00000163632
C3orf51	C1orf1	Po42	NR_024615		
C3orf52		FLJ23186, TTMP	NM_024616		ENSG00000114529
C3orf53~withdrawn					
C3orf55			XM_496664		ENSG00000174899
C3orf56		FLJ40141	NM_001007534		ENSG00000214324
C3orf58		MGC33365, DIA1	NM_173552		ENSG00000181744
C3orf62		FLJ43654	NM_198562		ENSG00000188315
C3orf64		AER61, FLJ33770	NM_173654		ENSG00000163378
C3orf65		FLJ32900			ENSG00000163915
C3orf67		FLJ42117, FLJ42930	NM_198463		ENSG00000163689
C3orf70			NM_001025266		ENSG00000187068
C3orf71			NM_001123040		ENSG00000221883
C3orf72		FLJ43329	NM_001040061		ENSG00000206262
C3orf73~withdrawn					
C3orf74			NM_001123039		ENSG00000256097
C3orf75	TMEM103	FLJ20211	NM_017713		ENSG00000163832
C3orf77		FLJ36157	NM_001145030		ENSG00000173769
C3orf78			NM_001124767		ENSG00000168273
C3orf79			NM_001101337		ENSG00000237787
C3orf80					ENSG00000180044
C3P1		CPLP	NR_027300		ENSG00000167798
C4A		CPAMD2, C4S, CO4, C4, C4A3, C4A2, C4A4, C4A6, C4B, RG	NM_007293	"Blood group antigens", "Complement system"	
C4A-AS1				"ncRNAs / Long non-coding RNAs"	
C4B		CPAMD3, C4F, CO4, C4B1, C4B3, CH	NM_001002029	"Blood group antigens", "Complement system"	
C4B-AS1				"ncRNAs / Long non-coding RNAs"	
C4BPA	C4BP				ENSG00000123838
C4BPAP1	C4BPAL1		NG_006475		ENSG00000224462
C4BPAP2	C4BPAL2		NG_002761		ENSG00000232621
C4BPB	C4BP		NM_000716		ENSG00000123843
C4orf3			NM_001001701		ENSG00000164096
C4orf6		aC1	NM_005750		ENSG00000082929
C4orf17		DKFZP434G072	NM_032149		ENSG00000138813
C4orf19		FLJ11017	NM_018302		ENSG00000154274
C4orf21		FLJ11331	NM_018392		ENSG00000138658
C4orf22			NM_152770		ENSG00000197826
C4orf26		FLJ23657	NM_178497		ENSG00000174792
C4orf27		FLJ20534	NM_017867		ENSG00000056050
C4orf29		FLJ21106	NM_001039717		ENSG00000164074
C4orf32		FLJ39370	NM_152400		ENSG00000174749
C4orf33		FLJ33703	NM_173487		ENSG00000151470
C4orf34		FLJ13289	NM_174921		ENSG00000163683
C4orf36		MGC26744	NM_144645		ENSG00000163633
C4orf37		MGC46496	NM_174952		ENSG00000163116
C4orf40			NM_214711		ENSG00000187533
C4orf45		FLJ25371	NM_152543		ENSG00000164123
C4orf46		LOC201725	NM_001008393		ENSG00000205208
C4orf47		LOC441054	NM_001114357		ENSG00000205129
C4orf48			NM_001141936		ENSG00000243449
C4orf49		OSAP, CESP-1, HUMMR, MGARP	NM_032623		ENSG00000137463
C4orf50		FLJ46481	NM_207405		ENSG00000181215
C4orf51			NM_001080531		ENSG00000237136
C4orf52			NM_001145432		ENSG00000250317
C5		CPAMD4	NM_001735	"Complement system"	ENSG00000106804
C5AR1	C5R1	C5A, C5AR, CD88	NM_001736	"CD molecules", "Complement system"	ENSG00000197405
C5orf4		FLJ13758	NM_032385		ENSG00000170271
C5orf9~withdrawn					
C5orf10~withdrawn					
C5orf15		KCT2, HTGN29	NM_020199		ENSG00000113583
C5orf17		FLJ34836	NM_173668		ENSG00000248874
C5orf20		DCNP1	NM_130848		ENSG00000251380
C5orf22		FLJ11193	NM_018356		ENSG00000082213
C5orf23~withdrawn					
C5orf24		FLJ37562	NM_152409		ENSG00000181904
C5orf25		FLJ44216, OOMA1	NM_198567		ENSG00000170085
C5orf27		FLJ38821, FIS	NM_175616		ENSG00000236882
C5orf28		FLJ21657	NM_022483		ENSG00000151881
C5orf30		FLJ25291	NM_033211		ENSG00000181751
C5orf34		FLJ32363	NM_198566		ENSG00000172244
C5orf38		CEI, IRX2NB	NM_178569		ENSG00000186493
C5orf42		FLJ13231	NM_023073		ENSG00000197603
C5orf43		DKFZP686E2158	NM_001048249		ENSG00000188725
C5orf44		FLJ13611, FLJ26957, MGC48585	NM_024941		ENSG00000113597
C5orf45		MGC65027, MGC78537, DKFZp686L2452, LOC51149	NM_016175		ENSG00000161010
C5orf46		MGC23985	NM_206966		ENSG00000178776
C5orf47		LOC133491	NM_001144954		ENSG00000185056
C5orf48		MGC163367, MGC163369, FLJ27505	NM_207408		ENSG00000196900
C5orf49		LOC134121	NM_001089584		ENSG00000215217
C5orf50		LOC644994	XM_928062		ENSG00000185662
C5orf51		LOC285636	NM_175921		ENSG00000205765
C5orf52			NM_001145132		ENSG00000187658
C5orf54		Buster3	NM_022090		ENSG00000221886
C5orf55			NM_138464		ENSG00000221990
C5orf56			NM_001013717		ENSG00000197536
C5orf58			NM_001102609		ENSG00000234511
C5orf60			NM_001142306		ENSG00000204661
C5orf62		MSTP150, NID67	NM_032947		ENSG00000256235
C5orf63		YDR286C, FLJ44606	NM_001164478		ENSG00000164241
C5orf64		FLJ37543	NM_173667		ENSG00000178722
C5orf65			NM_001161546		ENSG00000228672
C6				"Complement system"	ENSG00000039537
C6orf1		LBH, MGC57858	NM_178508		ENSG00000186577
C6orf2~withdrawn					
C6orf5~withdrawn					
C6orf6~withdrawn					
C6orf7			NM_001243308		
C6orf10		TSBP	NM_006781		
C6orf13~withdrawn					
C6orf14~withdrawn					
C6orf15		STG	NM_014070		
C6orf16~withdrawn					
C6orf17~withdrawn					
C6orf25		G6b, NG31	NM_138272		
C6orf30~withdrawn					
C6orf36~withdrawn					
C6orf42~withdrawn					
C6orf43~withdrawn					
C6orf44~withdrawn					
C6orf47		D6S53E, G4	NM_021184		
C6orf47-AS1				"ncRNAs / Long non-coding RNAs"	
C6orf48		D6S57, G8	NM_001040437		
C6orf50~withdrawn					
C6orf52			NM_001145020		ENSG00000137434
C6orf57			NM_145267		ENSG00000154079
C6orf58			NM_001010905		ENSG00000184530
C6orf61~withdrawn					
C6orf62		FLJ12619, DKFZP564G182, XTP12	NM_030939		ENSG00000112308
C6orf70		FLJ11152, dJ266L20.3	NM_018341		ENSG00000130023
C6orf72		dJ12G14.2	NM_138785		ENSG00000055211
C6orf89		FLJ25357	NM_152734		ENSG00000198663
C6orf91~withdrawn					
C6orf92~withdrawn					
C6orf97		FLJ23305, bA282P11.1	NM_025059		ENSG00000120262
C6orf98~withdrawn					
C6orf99		yR211F11.1	NM_001195032		ENSG00000203711
C6orf100		dJ25J6.5			
C6orf102~withdrawn					
C6orf106		FLJ22195, dJ391O22.4	NM_022758		ENSG00000196821
C6orf108		rcl, dJ330M21.3	NM_006443		ENSG00000112667
C6orf114~withdrawn					
C6orf118		MGC23884, bA85G2.1	NM_144980		ENSG00000112539
C6orf120		bA160E12.4	NM_001029863		ENSG00000185127
C6orf123		HGC6.2, dJ431P23.4	NM_014356		ENSG00000146521
C6orf130		MGC19570, dJ34B21.3	NM_145063		ENSG00000124596
C6orf131~withdrawn					
C6orf132		bA7K24.2	NM_001164446		ENSG00000188112
C6orf136		Em:AB023049.8	NM_145029		
C6orf141		MGC46457	NM_153344		ENSG00000197261
C6orf144~withdrawn					
C6orf147		Em:AC019205.8	NR_027005		
C6orf152~withdrawn					
C6orf162		DKFZP586E1923, dJ102H19.2	NM_020425		ENSG00000111850
C6orf163			NM_001010868		ENSG00000203872
C6orf164		dJ102H19.4	NM_022084		ENSG00000203871
C6orf165		FLJ25974, dJ382I10.1	NM_178823		ENSG00000213204
C6orf170	C6orf171	FLJ30899, dJ310J6.1, FLJ34235, bA57L9.1	NM_152730		ENSG00000146350
C6orf171~withdrawn					
C6orf178~withdrawn					
C6orf179~withdrawn					
C6orf180~withdrawn					
C6orf183		bA487F23.3			ENSG00000243587
C6orf184~withdrawn					
C6orf187~withdrawn					
C6orf193~withdrawn					
C6orf195		FLJ31934, bA145H9.2	NM_152554		ENSG00000164385
C6orf200~withdrawn					
C6orf201		dJ1013A10.5	NM_001085401		ENSG00000185689
C6orf202~withdrawn					
C6orf203		HSPC230, PRED31	NM_016487		ENSG00000130349
C6orf207~withdrawn					
C6orf211		FLJ12910	NM_024573		ENSG00000146476
C6orf212~withdrawn					
C6orf215~withdrawn					
C6orf221		ECAT1	NM_001017361		ENSG00000203908
C6orf222		DKFZp779B1540	NM_001010903		ENSG00000189325
C6orf223		MGC45491	NM_153246		ENSG00000181577
C6orf224~withdrawn					
C6orf225		DKFZp586F0922, LOC619208	NM_001033564		ENSG00000203778
C6orf226		LOC441150	NM_001008739		ENSG00000221821
C6orf228			NM_001135575		ENSG00000224531
C7				"Complement system"	ENSG00000112936
C7orf1~withdrawn					
C7orf8~withdrawn					
C7orf10		FLJ11808, ORF19, DERP13	NM_024728		ENSG00000175600
C7orf13		MY040	NR_026865		ENSG00000244291
C7orf22~withdrawn					
C7orf23		MGC4175, MM-TRAG	NM_024315		ENSG00000135185
C7orf25		MGC2821	NM_024054		ENSG00000136197
C7orf26		MGC2718	NM_024067		ENSG00000146576
C7orf29			NM_138434		ENSG00000188707
C7orf31			NM_138811		ENSG00000153790
C7orf33			NM_145304		ENSG00000170279
C7orf34		CTM-1	NM_178829		ENSG00000165131
C7orf41		FLJ25903, Ells1	NM_152793		ENSG00000180354
C7orf42		FLJ10099, FLJ13090	NM_017994		ENSG00000106609
C7orf43		FLJ10925	NM_018275		ENSG00000146826
C7orf44		FLJ10803	NM_018224		ENSG00000106603
C7orf45		FLJ40316	NM_145268		ENSG00000165120
C7orf46		FLJ45875, MGC72075, DKFZp686F0810	NM_199136		ENSG00000188732
C7orf49		MGC5242, FLJ27285, FLJ22450, MRI	NM_024033		ENSG00000122783
C7orf50		MGC11257, YCR016W	NM_032350		ENSG00000146540
C7orf53		FLJ39575	NM_182597		ENSG00000181016
C7orf55		HSPC268, FMC1	NM_197964		ENSG00000164898
C7orf57			NM_001100159		ENSG00000164746
C7orf58		FLJ21986	NM_024913		ENSG00000106034
C7orf59			NM_001008395		ENSG00000188186
C7orf60		DKFZp762M126, FLJ31818	NM_152556		ENSG00000164603
C7orf61		IMAGE:4839025	NM_001004323		ENSG00000185955
C7orf62		MGC26647	NM_152706		ENSG00000164645
C7orf63		FLJ21062	NM_001039706		ENSG00000105792
C7orf65		FLJ44108	NM_001123065		ENSG00000221845
C7orf66			NM_001024607		ENSG00000205174
C7orf69		FLJ21075	NM_025031		ENSG00000136275
C7orf70		SIPAR, MGC12966	NM_001037163		ENSG00000178397
C7orf71			NM_001145531		ENSG00000222004
C7orf72			NM_001161834		ENSG00000164500
C7orf73		PL-5283	NM_001130929		ENSG00000243317
C8A			NM_000562	"Complement system"	ENSG00000157131
C8B				"Complement system"	ENSG00000021852
C8G				"Complement system", "Lipocalins"	ENSG00000176919
C8orf4		TC-1, hTC-1			ENSG00000176907
C8orf5~withdrawn					
C8orf6~withdrawn					
C8orf7~withdrawn					
C8orf9~withdrawn					
C8orf12			NR_026814		ENSG00000184608
C8orf15~withdrawn					
C8orf16~withdrawn					
C8orf17		MOST-1	NM_020237		ENSG00000250733
C8orf22					ENSG00000168333
C8orf27~withdrawn					
C8orf28~withdrawn					
C8orf29~withdrawn					
C8orf31		FLJ37131	NM_173687		ENSG00000177335
C8orf33		FLJ20989	NM_023080		ENSG00000182307
C8orf34		vest-1, VEST1	NM_052958		ENSG00000165084
C8orf37		FLJ30600	NM_177965		ENSG00000156172
C8orf38		MGC40214	NM_152416		ENSG00000156170
C8orf39		PRO1905	NM_018608		ENSG00000212998
C8orf40			NM_138436		ENSG00000176209
C8orf42		INM01	NM_175075		ENSG00000180190
C8orf44		FLJ11267	NM_019607		ENSG00000213865
C8orf45		FLJ25692	NM_173518		ENSG00000178460
C8orf46		MGC33510	NM_152765		ENSG00000169085
C8orf47		FLJ39553	NM_173549		ENSG00000177459
C8orf48		FLJ25402	NM_001007090		ENSG00000164743
C8orf49		FLJ30972			ENSG00000255394
C8orf50					
C8orf51		MGC3113	NM_024035		ENSG00000254389
C8orf55		DSCD75	NM_016647		ENSG00000130193
C8orf56		MGC39526			ENSG00000236939
C8orf57~withdrawn					
C8orf58		FLJ34715	NM_001013842		ENSG00000241852
C8orf59					ENSG00000176731
C8orf60		FLJ12193			
C8orf61~withdrawn					
C8orf63~withdrawn					
C8orf64~withdrawn					
C8orf65~withdrawn					
C8orf66		DKFZp434O0331			
C8orf67~withdrawn					
C8orf68					
C8orf69~withdrawn					
C8orf71		DKFZP434F122	NM_015643		ENSG00000215117
C8orf73			NM_001100878		ENSG00000204839
C8orf74					ENSG00000171060
C8orf75					ENSG00000251191
C8orf76		FLJ14825	NM_032847		ENSG00000189376
C8orf77			NM_178535		ENSG00000255559
C8orf78		FLJ32770	NM_182525		
C8orf80		HMFN0672, SLIP-GC	NM_001010906		ENSG00000189233
C8orf82		MGC70857	NM_001001795		ENSG00000213563
C8orf83		DKFZp779L1068, PRO0845, LOC286144	NR_015339		ENSG00000205133
C8orf84		RPESP	NM_153225		ENSG00000164764
C8orf85		AARD, LOC441376	NM_001025357		ENSG00000205002
C8orf86		FLJ43582	NM_207412		ENSG00000196166
C8orf87			NM_001242668		
C9				"Complement system"	ENSG00000113600
C9orf1~withdrawn					
C9orf2~withdrawn					
C9orf3		C90RF3, FLJ14675, APO, AOPEP, AP-O	NM_032823		ENSG00000148120
C9orf8~withdrawn				"ADAM metallopeptidases with thrombospondin type 1 motif"	
C9orf9			NM_018956		ENSG00000165698
C9orf11		Afaf, equatorin	NM_020641		ENSG00000120160
C9orf16		EST00098, FLJ12823, MGC4639	NM_024112		ENSG00000171159
C9orf24		bA573M23.4, NYD-SP22, MGC32921, MGC33614, CBE1	NM_147169		ENSG00000164972
C9orf33~withdrawn					
C9orf35					ENSG00000227975
C9orf37			NM_032937		ENSG00000203993
C9orf38		PRO0365	NM_014126		ENSG00000215066
C9orf40		FLJ10110	NM_017998		ENSG00000135045
C9orf41		FLJ25795	NM_152420		ENSG00000156017
C9orf43		MGC17358	NM_152786		ENSG00000157653
C9orf46		MDS030, FLJ14688, AD025	NM_018465		ENSG00000107020
C9orf47	C9orf108	FLJ37523, bA791O21.3	NM_182599		ENSG00000186354
C9orf48~withdrawn					
C9orf50		FLJ35803	NM_199350		ENSG00000179058
C9orf51		bA392E22.4			ENSG00000176007
C9orf53		bA149I2.3	NM_016349		ENSG00000224854
C9orf55B~withdrawn					
C9orf56~withdrawn					
C9orf57			XM_059954		ENSG00000204669
C9orf62		MGC35463	NM_173520		ENSG00000178243
C9orf63~withdrawn					
C9orf64		MGC10999	NM_032307		ENSG00000165118
C9orf66		FLJ31158	NM_152569		ENSG00000183784
C9orf68		FLJ10058	NM_017985		ENSG00000106686
C9orf69		bA83N9.1	NM_152833		ENSG00000238227
C9orf71		MGC34760	NM_153237		ENSG00000181778
C9orf72		MGC23980	NM_018325		ENSG00000147894
C9orf78		HSPC220	NM_016520		ENSG00000136819
C9orf79		FLJ35866	NM_178828		ENSG00000177992
C9orf80		HSPC043	NM_021218		ENSG00000148153
C9orf82		FLJ13657	NM_024828		ENSG00000120159
C9orf84		FLJ32779	NM_173521		ENSG00000165181
C9orf85		MGC61599	NM_182505		ENSG00000155621
C9orf86		FLJ10101, FLJ13045, pp8875, bA216L13.9, Parf, RBEL1	NM_024718		ENSG00000196642
C9orf89		MGC11115, bA370F5.1	NM_032310		ENSG00000165233
C9orf91		DKFZp547P234, FLJ38045	NM_153045		ENSG00000157693
C9orf92		Em:AL513424.1			ENSG00000205549
C9orf93		FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1	NM_173550		ENSG00000164989
C9orf94~withdrawn					
C9orf95		FLJ20559, NRK1, bA235O14.2	NM_017881		ENSG00000106733
C9orf96		MGC43306			ENSG00000198870
C9orf99~withdrawn					
C9orf100		FLJ14642	NM_032818		ENSG00000137135
C9orf101~withdrawn					
C9orf102		FLJ37706, RAD26L			ENSG00000182150
C9orf103		bA522I20.2			ENSG00000148057
C9orf104		bA54A22.4			ENSG00000204011
C9orf106		bA65J3.5			ENSG00000179082
C9orf107		bA785H23.1			ENSG00000204250
C9orf108~withdrawn					
C9orf113~withdrawn					
C9orf114		HSPC109, CENP-32	NM_016390		ENSG00000198917
C9orf116		MGC29761	NM_144654		ENSG00000160345
C9orf117					ENSG00000160401
C9orf118		bA342C23.1			ENSG00000204343
C9orf123		MGC4730	XM_372075		ENSG00000137038
C9orf125		MGC12992	NM_032342		ENSG00000165152
C9orf128			NM_001012446		ENSG00000204930
C9orf129		bA165J3.3, OTTHUMG00000020248			ENSG00000204352
C9orf131		MGC41945	NM_203299		ENSG00000174038
C9orf133					ENSG00000235453
C9orf135		OTTHUMP00000021439	NM_001010940		ENSG00000204711
C9orf139		FLJ36268, FLJ42909	NM_207511		ENSG00000180539
C9orf141			XM_117514		ENSG00000198454
C9orf142			NM_183241		ENSG00000148362
C9orf146					ENSG00000205636
C9orf147		bA32M23.3	XR_079257		ENSG00000230185
C9orf148			XM_379667		ENSG00000237548
C9orf149~withdrawn					
C9orf151~withdrawn					
C9orf152		bA470J20.2	XM_376899		ENSG00000188959
C9orf153		bA507D14.1	XM_372123		ENSG00000187753
C9orf155~withdrawn					
C9orf156		HSPC219, NAP1	NM_016481		ENSG00000136932
C9orf163		FLJ36779	NM_152571		ENSG00000196366
C9orf164~withdrawn					
C9orf167		FLJ20245	NM_017723		ENSG00000198113
C9orf169		MGC59937	NM_199001		ENSG00000197191
C9orf170		FLJ45537	NM_001001709		ENSG00000204446
C9orf171		FLJ46082	NM_207417		ENSG00000188523
C9orf172			NM_001080482		ENSG00000232434
C9orf173		FLJ40246	NM_001004353		ENSG00000197768
C9orf174	KIAA1529	DKFZp434I2420, BDAG1	NM_020893		ENSG00000197816
C10orf1~withdrawn					
C10orf2	IOSCA	PEO, PEO1, TWINKLE, FLJ21832, TWINL	NM_021830		ENSG00000107815
C10orf10		DEPP	NM_007021		ENSG00000165507
C10orf11		CDA017	NM_032024		ENSG00000148655
C10orf12		DKFZP564P1916, FLJ13022	NM_015652		ENSG00000155640
C10orf14~withdrawn					
