Approved Symbol	RefSeq IDs
FAM156A	NM_014138
FAM157A	NM_001145248
FAM158A	NM_016049
FAM159A	NM_001042693
FAM159B	XM_001720158
FAM160A1	NM_001109977
FAM160A2	NM_032127
FAM160B1	XM_049351
FAM161A	NM_032180
FAM161B	NM_152445
FAM162A	NM_014367
FAM162B	XM_927381
FAM163A	NM_173509
FAM163B	NM_001080515
FAM165B	NM_058182
FAM166A	NM_001001710
FAM166B	NM_001099951
FAM167B	NM_032648
FAM168A	NM_015159
FAM168B	NM_001009993
FAM169B	NM_182562
FAM170A	NM_182761
FAM170B	XM_096317
FAM171A1	XM_167709
FAM171A2	NM_198475
FAM171B	NM_177454
FAM172A	NM_032042
FAM172BP	XR_041878
FAM173A	NM_023933
FAM173B	NM_199133
FAM174A	NM_198507
FAM174B	NM_207446
FAM175A	NM_139076
FAM175B	NM_032182
FAM176A	NM_032181
FAM176B	NM_018166
FAM177A1	NM_173607
FAM177B	NM_207468
FAM178B	NM_016490
FAM179A	NM_199280
FAM179B	XM_113781
FAM180A	NM_205855
FAM180B	XM_941808
FAM181A	NM_138344
FAM181A-AS1	NR_027004
FAM181B	NM_175885
FAM182B	NR_026714
FAM183A	NM_001101376
FAM183B	NM_001105282
FAM184A	NM_024581
FAM184B	NM_015688
FAM185A	NM_001145268
FAM185BP	XM_001717516
FAM186A	XM_001718353
FAM186B	NM_032130
FAM187B	NM_152481
FAM188A	NM_024948
FAM188B	NM_032222
FAM188B2	XM_001717355
FAM189A1	NM_015307
FAM189A2	NM_004816
FAM189B	NM_006589
FAM190A	NM_001145065
FAM190B	NM_018999
FAM192A	NM_024946
FAM192BP	NG_007351
FAM193A	NM_003704
FAM193B	NM_019057
FAM194A	NM_152394
FAM194B	NM_182542
FAM195A	NM_138418
FAM195B	NM_001093767
FAM196A	NM_001039762
FAM196B	NM_001129891
FAM197Y1	XM_002344201
FAM197Y2P	NR_001553
FAM197Y3	XM_001716449
FAM197Y4	XM_002344200
FAM197Y5	XM_002344199
FAM197Y6	XM_002344442
FAM197Y7	XM_002344441
FAM197Y8	XM_002344440
FAM197Y9	XM_001716169
FAM197Y10	XM_002343869
FAM198A	NM_001129908
FAM198B	NM_001031700, NM_016613
FAM199X	NM_207318
FAM199YP	NG_002952
FAM200A	NM_145111
FAM200B	NM_001145191
FAM201A	NR_027294
FAM203A	NM_016458
FAM203B	XM_932061
FAM204A	NM_022063
FAM204DP	NG_027293
FAM205A	NM_001141917
FAM205CP	NG_027513
FAM206A	NM_017832
FAM207A	NM_058190
FAM208A	NM_015224
FAM208B	NM_017782
FAM210A	NM_152352
FAM210B	NM_080821
FAM211A	NM_207387
FAM211B	NM_207644
FAM212A	NM_203370
FAM212B	NM_019099
FAM213B	NM_152371
FAM214A	NM_019600
FAM214B	NM_025182
FAM215A	NR_026770
FAM216A	NM_013300
FAM216B	NM_182508
FAM217A	NM_173563
FAM217B	NM_022106
FAM218A	NM_153027
FAM219A	NM_001184940
FAM219B	NM_020447
FAN1	NM_014967
FANCB	NM_152633
FANCC	NM_000136
FANCF	NM_022725
FANCG	NM_004629
FANCI	NM_018193
FANCL	NM_018062
FANCM	XM_048128
FANK1	NM_145235
FAR1	NM_032228
FAR2	NM_018099
FARP1	NM_005766
FARS2	NM_006567
FARSA	NM_004461
FARSB	NM_005687
FASN	NM_004104
FASTK	NM_006712
FASTKD1	NM_024622
FASTKD2	NM_014929
FASTKD3	NM_024091
FASTKD5	NM_021826
FAT1	NM_005245
FAT2	NM_001447
FAT4	NM_024582
FATE1	NM_033085
FAU	NM_001997
FAUP1	NG_001306
FAUP2	NG_010095
FAUP3	NG_010102
FAXC	NM_032511
FBF1	NM_001080542
FBL	NM_001436
FBLIM1	NM_001024215
FBLL1	NR_024356
FBLN1	NM_006486
FBLN2	NM_001004019
FBLN7	NM_153214
FBN2	NM_001999
FBN3	NM_032447
FBRS	NM_022452
FBXL2	NM_012157
FBXL6	NM_024555
FBXL7	NM_012304
FBXL12	NM_017703
FBXL13	NM_145032
FBXL14	NM_152441
FBXL15	XM_370575
FBXL16	NM_153350
FBXL18	NM_024963
FBXL19	NM_019085
FBXL19-AS1	XR_040476
FBXL20	NM_032875
FBXL21	NM_012159
FBXL22	NM_203373
FBXO2	NM_012168
FBXO3	NM_012175
FBXO6	NM_018438
FBXO8	NM_012180
FBXO11	NM_012167, NM_018693, NM_025133
FBXO15	NM_152676
FBXO16	NM_172366
FBXO17	NM_024907
FBXO18	NM_032807
FBXO21	NM_033624
FBXO22	NM_147188
FBXO22-AS1	NR_003136
FBXO25	NM_012173
FBXO28	NM_015176
FBXO31	NM_024735
FBXO36	NM_174899
FBXO38	NM_030793
FBXO39	NM_153230
FBXO40	NM_016298
FBXO43	XM_209918
FBXO44	NM_183412
FBXO46	XM_371179
FBXO47	NM_001008777
FBXO48	NM_001024680
FBXW4	NM_022039
FBXW5	NM_018998
FBXW8	NM_012174
FBXW9	NM_032301
FBXW10	NM_031456
FBXW11	NM_012300
FBXW11P1	NG_000930
FBXW12	NM_207102
FCAMR	NM_032029
FCAR	NM_002000
FCER1A	NM_002001
FCER1G	NM_004106
FCER2	NM_002002
FCF1	NM_015962
FCGBP	NM_003890
FCGR1A	NM_000566
FCGR1C	XM_001133198
FCGR2A	NM_021642
FCGR2B	NM_004001
FCGR2C	NM_201563
FCGR3A	NM_000569
FCGR3B	NM_000570
FCHO1	NM_015122
FCHO2	XM_291142
FCHSD1	NM_033449
FCHSD2	NM_014824
FCN1	NM_002003
FCN2	NM_004108
FCRL1	NM_052938
FCRL2	NM_030764
FCRL3	NM_052939
FCRL4	NM_031282
FCRL5	NM_031281
FCRL6	NM_001004310
FCRLA	NM_032738
FCRLB	NM_152378
FDCSP	NM_152997
FDPS	NM_002004
FDPSP1	NG_005667
FDPSP2	NR_003262
FDPSP4	NG_007445
FDPSP5	NG_007446
FDPSP7	NG_009609
FDPSP8	NG_008746
FDPSP9	NG_008747
FDPSP10	NG_008745
FDX1	NM_004109
FDX1P1	NG_001117
FDX1P2	NG_001116
FDXACB1	NM_138378
FDXR	NM_004110
FECHP1	NG_001118
FEM1AP1	NG_021994
FEM1C	NM_020177
FEN1	NM_004111
FEN1P1	NG_005887
FER	NM_005246
FER1L4	NR_024377
FER1L5	NM_001077400
FER1L6	NM_001039112
FER1L6-AS1	XM_498451, XM_499581
FERMT1	NM_017671
FERMT2	NM_006832
FERMT3	NM_031471
FERP1	NG_005390
FES	NM_002005
FETUB	NM_014375
FEZ1	NM_005103
FEZF1	NM_001024613
FEZF2	NM_018008
FFAR1	NM_005303
FFAR2	NM_005306
FFAR3	NM_005304
FGA	NM_000508
FGB	NM_005141
FGD1	NM_004463
FGD2	NM_173558
FGD3	NM_033086
FGD4	NM_139241
FGD5	NM_152536
FGD6	NM_018351
FGF1	NM_000800
FGF2	NM_002006
FGF3	NM_005247
FGF4	NM_002007
FGF6	NM_020996
FGF7	NM_002009
FGF8	NM_006119, NM_033165
FGF10	NM_004465
FGF11	NM_004112
FGF12	NM_021032
FGF13	NM_004114
FGF16	NM_003868
FGF17	NM_003867
FGF18	NM_033649, NM_003862
FGF19	NM_005117
FGFBP1	NM_005130
FGFBP2	NM_031950
FGFBP3	NM_152429
FGFR1OP	NM_007045
FGFR1OP2	NM_015633
FGFR2	NM_022976, NM_000141
FGFR3	NM_000142
FGFR3P1	NG_025930
FGFR3P2	NG_021799
FGFR3P3	NG_021985
FGFR3P4	NG_022229
FGFR3P5	NG_022502
FGFR3P6	NG_022833
FGFRL1	NM_021923
FGG	NM_021870
FGGY	NM_001113411
FGL1	NM_004467
FGL2	NM_006682
FGR	NM_005248
FH	NM_000143
FHDC1	NM_033393
FHIT	NM_002012
FHL1	NM_001449
FHL3	NM_004468
FHL5	NM_020482
FHOD3	XM_371114
FIBCD1	NM_032843
FIBIN	NM_203371
FIBP	NM_198897
FICD	NM_007076
FIG4	NM_014845
FIGF	NM_004469
FIGLA	NM_001004311
FIGN	NM_018086
FIGNL1	NM_001042762
FIGNL2	NM_001013690
FILIP1	XM_029179
FILIP1L	NM_014890
FIP1L1	NM_030917
FIS1	NM_016068
FITM1	NM_203402
FITM2	XM_371399
FIZ1	NM_032836
FJX1	NM_014344
FKBP1A-SDCBP2	NR_037661
FKBP1AP1	NR_024162
FKBP1AP2	NG_008623
FKBP1AP4	NG_006255
FKBP1B	NM_004116
FKBP2	NM_004470
FKBP3	NM_002013
FKBP6	NM_003602
FKBP7	NM_181342
FKBP8	NM_012181
FKBP9	NM_007270
FKBP9L	NM_182827
FKBP10	NM_021939
FKBP11	NM_016594
FKBP14	NM_017946
FKBP15	NM_015258
FKRP	NM_024301
FKTN	NM_006731
FLAD1	NM_025207
FLCN	NM_144606
FLG	NM_002016
FLG2	NM_001014342
FLI1	NM_002017
FLII	NM_002018
FLNB	NM_001457
FLOT2	NM_004475
FLRT1	NM_013280
FLRT3	NM_013281
FLVCR1	NM_014053
FLVCR1-AS1	NR_027285
FLVCR2	NM_017791
FLYWCH1	NM_032296
FLYWCH1L	XM_373004
FLYWCH2	NM_138439
FMN1	NM_001103184
FMN2	XM_371352
FMNL1	NM_005892
FMNL2	NM_052905
FMNL3	NM_175736
FMO1	NM_002021
FMO2	NM_001460
FMO3	NM_006894
FMO4	NM_002022
FMO5	NM_001461
FMO6P	XM_371326
FMO7P	NG_016467
FMO9P	NR_002925
FMO11P	NG_016468
FMOD	NM_002023
FMR1	NM_002024
FMR1-AS1	NR_024499
FMR1NB	NM_152578
FN1	NM_212476
FN3K	NM_022158
FN3KRP	NM_024619
FNBP1L	NM_017737
FNDC1	NM_032532
FNDC3A	NM_014923
FNDC3B	NM_022763
FNDC3CP	NG_026723
FNDC4	NM_022823
FNDC5	NM_153756
FNDC7	NM_173532
FNDC8	NM_017559
FNDC9	NM_001001343
FNIP1	NM_133372
FNIP2	NM_020840
FNTA	NM_002027
FNTAP1	NG_005139
FNTAP2	NG_005138
FNTB	NM_002028
FOLH1	NM_004476
FOLH1B	NM_153696
FOLR1	NM_016725
FOLR1P1	NG_005088
FOLR2	NM_000803
FOLR3	NM_000804
FOLR4	NM_001080486
FOPNL	NM_144600
FOS	NM_005252
FOSB	NM_006732
FOSL1	NM_005438
FOSL2	NM_005253
FOXB2	NM_001013735
FOXC2	NM_005251
FOXD1	NM_004472
FOXD2	NM_004474
FOXD4	NM_207305
FOXD4L1	NM_012184
FOXD4L2	NM_001099279
FOXD4L3	NM_199358
FOXD4L5	NM_001126334
FOXD4L6	NM_001085476
FOXE3	NM_012186
FOXF1	NM_001451
FOXI1	NM_144769, NM_012188
FOXI2	NM_207426
FOXI3	NM_001135649
FOXJ1	NM_001454
FOXJ2	NM_018416
FOXJ3	NM_014947
FOXK2	NM_181430
FOXL1	NM_005250
FOXM1	NM_021953
FOXN2	NM_002158
FOXN3	NM_005197
FOXN4	XM_062735
FOXO1	NM_002015
FOXO1B	NG_001120
FOXO3B	NR_026718
FOXO4	NM_005938
FOXP1	NM_032682
FOXP2	NM_014491
FOXP3	NM_014009
FOXP4	NM_138457
FOXQ1	NM_033260
FOXR1	NM_181721
FOXR2	NM_198451
FOXRED1	NM_017547
FOXRED2	NM_024955
FOXS1	NM_004118
FPR1	NM_002029
FPR2	NM_001005738
FPR3	NM_002030
FRA10AC1	NM_145246
FRAT1	NM_005479
FRAT2	NM_012083
FREM1	NM_144966
FREM2	NM_207361
FREM3	XM_094074
FRG1	NM_004477
FRG2	NM_001005217
FRG2B	NM_001080998
FRG2C	NM_001124759.1
FRK	NM_002031
FRMD1	NM_024919
FRMD3	NM_174938
FRMD4A	NM_018027
FRMD5	NM_032892
FRMD6	NM_152330
FRMD6-AS1	NR_037676
FRMD7	NM_194277
FRMD8	NM_031904
FRMD8P1	NM_032033
FRMPD1	NM_014907
FRMPD2	NM_152428
FRMPD2P1	NR_033172
FRMPD3	XM_042978
FRMPD4	XM_045712
FRRS1	NM_001013660
FRRS1L	NM_014334
FRS2	NM_006654
FRS3	NM_006653
FRY	NM_023037
FRZB	NM_001463
FSBP	NM_001256141
FSCB	NM_032135
FSCN1	NM_003088
FSCN2	NM_012418
FSCN3	NM_020369
FSD1	NM_024333
FSD1L	NM_207647
FSD2	NM_001007122
FSHB	NM_000510
FSIP1	NM_152597
FSIP2	NM_173651
FST	NM_013409
FSTL1	NM_007085
FSTL3	NM_005860
FSTL4	XM_048786
FSTL5	NM_020116
FTCD	NM_006657
FTH1	NM_002032
FTH1P1	NG_004768
FTH1P2	NR_002200
FTH1P3	NR_002201
FTH1P4	NG_004769
FTH1P7	NR_002202
FTH1P8	NR_002203
FTH1P10	NG_003028
FTH1P11	NR_002204
FTH1P12	NR_002205
FTH1P15	NG_007335
FTH1P16	XR_017932
FTH1P18	NG_008265
FTH1P19	XM_372202
FTH1P20	NG_023542
FTH1P21	NG_001121
FTH1P22	NG_022736
FTHL17	NM_031894
FTL	NM_000146
FTLP1	NG_001037
FTLP2	XR_017149
FTLP3	NG_002715
FTLP6	NG_021790
FTLP9	NG_022015
FTLP10	NR_015446
FTLP11	NG_023157
FTLP12	NG_022455
FTLP13	NG_022463
FTLP14	NG_022524
FTLP16	NG_022590
FTLP18	NG_022775
FTMT	NM_177478
FTO	NM_001080432
FTSJ2	NM_013393
FTSJD1	NM_018348
FTSJD2	NM_015050
FTX	NR_028379
FUBP1	NM_003902
FUCA1	NM_000147
FUCA1P1	NG_001122
FUCA2	NM_032020
FUK	NM_145059
FUNDC1	NM_173794
FUNDC2	NM_023934
FUNDC2P1	NG_005087
FUNDC2P2	NR_003663
FUNDC2P3	NG_022375
FURIN	NM_002569
FUS	NM_004960
FUT1	NM_000148
FUT2	NM_000511
FUT3	NM_000149
FUT4	NM_002033
FUT5	NM_002034
FUT6	NM_000150
FUT7	NM_004479
FUT8	NM_004480
FUT10	NM_032664
FUT11	NM_173540
FUZ	NM_025129
FXC1	NM_012192
FXN	NM_000144
FXYD1	NM_021902
FXYD2	NM_021603
FXYD3	NM_021910
FXYD4	NM_173160
FXYD5	NM_014164
FXYD6	NM_022003
FXYD6P3	NM_001099278
FXYD7	NM_022006
FYB	NM_001465
FYCO1	NM_024513
FYTTD1	NM_032288
FYTTD1P1	NG_012326
FZD1	NM_003505
FZD2	NM_001466
FZD3	NM_145866
FZD4	NM_012193
FZD5	NM_003468
FZD6	NM_003506
FZD7	NM_003507
FZD8	NM_031866
FZR1	NM_016263
G2E3	NM_017769
G3BP1	NM_005754
G3BP2	NM_012297
G6PC	NM_000151
G6PC2	NM_021176
G6PC3	NM_138387
G6PD	NM_000402
GAB1	NM_002039
GAB2	NM_080491
GAB3	NM_001081573
GAB4	XM_372882
GABARAPL2	NM_007285
GABARAPL3	NR_028287
GABPA	NM_002040
GABPAP	NG_007342
GABPB2	NM_144618
GABRA1	NM_000806.5
GABRA3	NM_000808
GABRD	NM_000815
GABRE	NM_004961, NM_021990, NM_021984
GABRG1	NM_173536
GABRP	NM_014211
GABRQ	NM_018558
GAD2	NM_000818
GADD45A	NM_001924
GADD45B	NM_015675
GADD45G	NM_006705
GADD45GIP1	NM_052850
GADL1	NM_207359
GAGE1	NM_001468
GAGE2B	NM_001098411
GAGE2C	NM_001472
GAGE2D	NM_001098407
GAGE2E	NM_001127200
GAGE3	NM_001473
GAGE4	NM_001474
GAGE5	NM_001475
GAGE6	NM_001476
GAGE7	NM_021123
GAGE8	NM_012196
GAGE10	NM_001098413
GAGE12J	NM_001098406
GAK	NM_005255
GAL	NM_001479
GAL3ST1	NM_004861
GAL3ST2	NM_022134
GAL3ST3	NM_033036
GAL3ST4	NM_024637
GALE	NM_000403
GALM	NM_138801
GALNT1	NM_020474
GALNT2	NM_004481
GALNT3	NM_004482
GALNT4	NM_003774
GALNT5	NM_014568
GALNT6	NM_007210
GALNT7	NM_017423
GALNT8	NM_017417
GALNT9	NM_001122636
GALNT12	NM_024642
GALNT13	XM_054951
GALNT14	NM_024572
GALNTL1	XM_031104
GALNTL2	NM_054110
GALNTL4	NM_198516
GALNTL5	NM_145292
GALNTL6	NM_001034845
GALP	NM_033106
GALT	NM_000155
GAMT	NM_138924
GAMTP1	NG_007653.2
GANAB	NM_198334
GANC	NM_198141
GAP43	NM_002045
GAPDH	NM_002046
GAPDHP1	NG_001123
GAPDHP17	NG_002925
GAPDHP19	NG_002924
GAPDHP20	NG_009347
GAPDHP21	NG_009342
GAPDHP22	NG_011332
GAPDHP23	NG_009339
GAPDHP24	NG_009350
GAPDHP25	NG_006131
GAPDHP26	NG_009355
GAPDHP27	NG_009337
GAPDHP28	NG_009344
GAPDHP29	NG_009349
GAPDHP30	NG_009345
GAPDHP31	NG_009353
GAPDHP32	NG_011343
GAPDHP33	NG_009336
GAPDHP34	NG_011461
GAPDHP35	NG_009340
GAPDHP36	NG_016486
GAPDHP37	NG_006079
GAPDHP38	NG_009334
GAPDHP39	NG_009351
GAPDHP40	NG_009333
GAPDHP41	NG_007298
GAPDHP42	NG_009328
GAPDHP43	NG_009331
GAPDHP44	NG_009335
GAPDHP45	NG_009343
GAPDHP46	NG_009348
GAPDHP47	NG_009352
GAPDHP48	NG_009354
GAPDHP49	NG_023664
GAPDHP50	NG_025600
GAPDHP51	NG_026939
GAPDHP52	NG_024895
GAPDHP53	NG_025000
GAPDHP54	NG_025009
GAPDHP55	NG_025379
GAPDHP56	NG_025161
GAPDHP57	NG_023572
GAPDHP58	NG_009338
GAPDHP60	NG_003011
GAPDHP67	XM_066753
GAPDHP69	NG_009332
GAPDHP70	NG_007004
GAPDHP71	NG_003027
GAPDHP72	NG_009329
GAPDHS	NM_014364
GAPT	NM_152687
GARNL3	NM_032293
GARS	NM_002047
GART	NM_000819
GAS1	NM_002048
GAS2	NM_177553
GAS2L1	NM_006478
GAS2L2	NM_139285
GAS2L3	NM_174942
GAS5	NR_002578
GAS6	NM_000820
GAS7	NM_003644, NM_201432, NM_201433
GATA1	NM_002049
GATA2	NM_032638
GATA3	NM_001002295
GATA4	NM_002052
GATA5	NM_080473
GATA6	NM_005257
GATAD1	NM_021167
GATAD2A	NM_017660
GATAD2B	NM_020699
GATC	NM_176818
GATM	NM_001482
GATS	NM_178831
GATSL1	NM_001145063
GATSL2	NM_001145064
GATSL3	NM_001037666
GBA	NM_000157
GBA2	NM_020944
GBAP1	NR_002188.2
GBAS	NM_001483
GBGT1	NM_021996
GBP1	NM_002053
GBP1P1	NR_003133
GBP2	NM_004120
GBP3	NM_018284
GBP4	NM_052941
GBP5	NM_052942
GBP6	NM_198460
GBP7	NM_207398
GBX2	NM_001485
GCA	NM_012198
GCAT	NM_014291.2
GCC1	NM_024523
GCC2	NM_014635
GCFC1	NM_013329
GCFC2	NM_003203
GCG	NM_002054
GCGR	NM_000160
GCHFR	NM_005258
GCKR	NM_001486
GCLM	NM_002061
GCNT1	NM_001097634
GCNT1P1	NG_001039
GCNT1P2	NG_021841
GCNT1P3	NG_022287
GCNT1P4	NG_022356
GCNT1P5	NG_022567
GCNT2	NM_145649
GCNT7	NM_080615
GCOM1	NM_001018090
GCSH	NM_004483
GDAP1	NM_018972
GDAP1L1	NM_024034
GDAP2	NM_017686
GDE1	NM_016641
GDF1	NM_001492
GDF2	NM_016204
GDF6	NM_001001557
GDF7	NM_182828
GDF9	NM_005260
GDF10	NM_004962
GDF15	NM_004864
GDI1	NM_001493
GDI2	NM_001494
GDI2P1	NG_001124
GDNF	NM_000514
GDPD1	NM_182569
GDPD2	NM_017711
GDPD3	NM_024307
GDPD4	NM_182833
GDPD5	NM_030792
GEM	NM_181702
GEMIN4	NM_015721
GEMIN8	NM_017856
GEMIN8P1	NG_009513
GEMIN8P3	NG_022678
GEMIN8P4	NR_002830
GEN1	NM_182625
GET4	NM_015949
GFAP	NM_002055
GFER	NM_005262
GFI1	NM_005263
GFM1	NM_024996
GFM2	NM_032380
GFOD1	NM_018988
GFOD2	NM_030819
GFPT2	NM_005110
GFRA1	NM_145793
GFRA2	NM_001495
GFRA3	NM_001496
GFRA4	NM_145762
GFRAL	NM_207410
GGA1	NM_013365
GGA3	NM_138619
GGCT	NM_024051
GGCX	NM_000821
GGN	NM_152657
GGNBP2	NM_024835
GGPS1	NM_004837
GGT1	NM_013430
GGT3P	NR_003267
GGT4P	XR_038677
GGT5	NM_004121
GGT6	NM_153338
GGT7	NM_178026
GGT8P	NR_003503
GGTA1P	NR_003191
GGTA2P	NG_002767
GGTLC1	NM_178311.2
GGTLC2	NM_199127
GGTLC3	XM_001128310
GGTLC4P	XR_015549
GGTLC5P	XR_016962
GH1	NM_000515
GH2	NM_002059
GHDC	NM_032484
GHITM	NM_014394
GHRL	NM_016362
GHRLOS	NR_004431
GHSR	NM_004122
GIF	NM_005142
GIGYF1	NM_022574
GIGYF2	NM_001103146
GIMAP1	NM_130759
GIMAP2	NM_015660
GIMAP4	NM_018326
GIMAP5	NM_018384
GIMAP6	NM_024711
GIMAP7	NM_153236
GIMAP8	NM_175571
GIN1	NM_017676
GINS1	NM_021067
GINS2	NM_016095
GINS3	NM_022770
GINS4	NM_032336
GIP	NM_004123
GIPC2	NM_017655
GIPC3	NM_133261
GIT1	NM_014030
GIT2	NM_057169
GJA1	NM_000165
GJA1P1	NG_003029
GJA3	NM_021954
GJA4	NM_002060
GJA5	NM_181703
GJA8	NM_005267
GJA9	NM_030772
GJA10	NM_032602
GJB1	NM_000166
GJB3	NM_024009
GJB4	NM_153212
GJB5	NM_005268
GJC1	NM_005497
GJC2	NM_020435
GJC3	NM_181538
GJD4	NM_153368
GK	NM_000167
GK2	NM_033214
GK3P	NG_000861
GK4P	NG_001127
GK5	NM_001039547
GK6P	NG_004742
GKAP1	NM_025211
GKN1	NM_019617
GKN2	NM_182536
GLB1	NM_000404
GLB1L	NM_024506
GLB1L2	NM_138342
GLB1L3	NM_138416
GLCCI1	NM_138426
GLCE	NM_015554
GLDC	NM_000170
GLDCP1	NG_003012
GLDN	NM_181789
GLE1	NM_001003722
GLG1	NM_012201
GLI1	NM_005269
GLI2	NM_005270
GLI3	NM_000168
GLIPR1	NM_006851
GLIPR1L1	NM_152779
GLIPR1L2	NM_152436
GLIPR2	NM_022343
GLIS1	NM_147193
GLIS2	NM_032575
GLIS3	NM_152629
GLIS3-AS1	NM_032764
GLMN	NM_007070
GLO1	NM_006708
GLOD4	NM_016080
GLOD5	NM_001080489
GLRA4	NM_001024452
GLRB	NM_000824
GLRX	NM_002064
GLRX2	NM_016066
GLRX3	NM_006541
GLRXP3	NG_009942
GLS2	NM_013267
GLT1D1	NM_144669
GLT6D1	NM_182974
GLT8D1	NM_152932
GLT8D2	NM_031302
GLT25D1	NM_024656
GLT25D2	NM_015101
GLTP	NM_016433
GLTPD1	NM_001029885
GLTPD2	NM_001014985
GLTPP1	NG_007407
GLUD1	NM_005271
GLUD1P2	NG_016765
GLUD1P4	NG_005046
GLUD1P5	NG_001129
GLUD2	NM_012084
GLUL	NM_002065
GLULP1	NG_003030
GLULP2	NG_009859
GLULP3	NG_007180
GLULP4	NG_005208
GLULP5	NG_021735
GLYATL1	NM_080661
GLYATL1P2	XR_037279
GLYATL2	NM_145016
GLYATL3	NM_001010904
GLYCAM1	NR_003039
GLYCTK	NM_145262
GLYR1	NM_032569
GM2A	NM_000405
GMCL1	NM_178439
GMCL1P1	NM_022471
GMEB1	NM_006582
GMEB2	NM_012384
GMFB	NM_004124
GMFBP1	NG_023431
GMIP	NM_016573
GML	NM_002066
GMNC	NM_001146686
GMNN	NM_015895
GMPPA	NM_013335
GMPPB	NM_013334
GMPR2	NM_016576
GMPSP1	NG_023314
GNA11	NM_002067
GNA12	NM_007353
GNA13	NM_006572
GNA15	NM_002068
GNAI1	NM_002069
GNAI2	NM_002070
GNAI3	NM_006496
GNAL	NM_182978, NM_002071
GNAO1	NM_020988
GNAQ	NM_002072
GNAQP1	NG_000862
GNAS	NM_000516
GNAS-AS1	NR_002785
GNAT1	NM_000172
GNAT2	NM_005272
GNAT3	XM_294370
GNAZ	NM_002073
GNB1	NM_002074
GNB2	NM_005273
GNB2L1	NM_006098
GNB3	NM_002075
GNB4	NM_021629
GNE	NM_005476
GNG3	NM_012202
GNG4	NM_004485
GNG5	NM_005274
GNG5P1	NG_006561
GNG5P2	NG_002699
GNG5P3	NG_006562
GNG5P4	NG_006563
GNG5P5	NG_006564
GNG7	NM_052847
GNG11	NM_004126
GNG13	NM_016541
GNGT1	NM_021955
GNGT2	NM_031498
GNL2	NM_013285
GNL3	NM_014366
GNL3L	NM_019067
GNL3LP1	NG_005649
GNLY	NM_006433
GNMT	NM_018960
GNPATP	NG_007472
GNPDA1	NM_005471
GNPDA2	NM_138335
GNPTG	NM_032520
GNRH1	NM_001083111
GNRH2	NM_001501
GNRHR2	NR_002328
GNRHR2P1	NG_003256
GOLGA1	NM_002077
GOLGA2	NM_004486
GOLGA2P2Y	NR_001555
GOLGA2P3Y	NR_002195
GOLGA2P5	NM_017600
GOLGA3	NM_005895
GOLGA4	NM_002078
GOLGA4P3	NG_001019
GOLGA6A	XM_292357
GOLGA6B	NM_018652
GOLGA6C	NM_001164404
GOLGA6D	NM_001145224
GOLGA6L1	NM_001001413
GOLGA6L2	NM_182561
GOLGA6L3	XM_002343391
GOLGA6L5	NR_003246
GOLGA6L6	NM_001145004
GOLGA6L7P	XR_078490
GOLGA6L9	NM_198181
GOLGA6L10	NM_001164465
GOLGA6L11P	NG_002946
GOLGA6L12P	NG_002945
GOLGA6L13P	NG_002944
GOLGA6L14P	NG_002943
GOLGA7	NM_016099
GOLGA7B	NM_001010917
GOLGA8A	NM_181076
GOLGA8B	NM_001023567
GOLGA8E	NR_033350.1
GOLGA8F	NR_033351.1
GOLGA8G	NR_033353.1
GOLGA8H	XM_001724395
GOLGA8IP	XR_017720
GOLGA8J	XM_001724382
GOLGB1	NM_004487
GOLM1	NM_177937
GOLPH3	NM_022130
GOLPH3L	NM_018178
GOLT1A	NM_198447
GOLT1B	NM_016072
GON4L	NM_032292
GOPC	NM_020399
GORAB	NM_152281
GOT1	NM_002079
GOT1L1	NM_152413
GOT2P4	NG_008829
GP2	NM_016295
GP5	NM_004488
GPA33	NM_005814
GPAA1	NM_003801
GPAM	NM_020918
GPANK1	NM_033177
GPAT2	NM_207328
GPATCH1	NM_018025
GPATCH2	NM_018040
GPATCH3	NM_022078
GPATCH4	NM_017725
GPATCH8	NM_001002909
GPBAR1	NM_001077191
GPBP1	NM_022913
GPBP1L1	NM_021639
GPC1	NM_002081
GPC2	NM_152742
GPC3	NM_004484
GPC4	NM_001448
GPC5	NM_004466
GPC6	NM_005708
GPCPD1	NM_019593
GPD1L	NM_015141
GPER	NM_001039966
GPHA2	NM_130769
GPHB5	NM_145171
GPHN	NM_020806
GPIHBP1	NM_178172
GPKOW	NM_015698
GPLD1	NM_001503
GPM6B	NM_001001995
GPN1	NM_007266
GPN2	NM_018066
GPN3	NM_016301
GPNMB	NM_001005340
GPR1	NM_001098199
GPR3	NM_005281
GPR4	NM_005282
GPR19	NM_006143
GPR20	NM_005293
GPR21	NM_005294
GPR25	NM_005298
GPR27	NM_018971
GPR31	NM_005299
GPR34	NM_005300
GPR35	NM_001195382
GPR37	NM_005302
GPR37L1	NM_004767
GPR42	NM_005305
GPR45	NM_007227
GPR50	NM_004224
GPR52	NM_005684
GPR53P	NG_001217
GPR55	NM_005683
GPR77	NM_018485
GPR82	NM_080817
GPR83	NM_016540
GPR88	NM_022049
GPR89A	NM_001097612
GPR89B	NM_016334
GPR89C	NM_001097616
GPR97	NM_170776
GPR98	NM_032119
GPR110	NM_153840
GPR111	NM_153839
GPR113	NM_153835
GPR114	NM_153837
GPR115	NM_153838
GPR116	NM_015234
GPR119	NM_178471
GPR132	NM_013345
GPR133	NM_198827
GPR135	NM_022571
GPR137	NM_020155
