gene	variants	fams	biotype	description	omim_hit
GPR89A	1	MGP43			c(" G PROTEIN-COUPLED RECEPTOR 89A; GPR89A", " G PROTEIN-COUPLED RECEPTOR 89B; GPR89B")
GPR98	2	MGP43			 G PROTEIN-COUPLED RECEPTOR 98; GPR98
GPRIN1	1	MGP43			 G PROTEIN-REGULATED INDUCER OF NEURITE OUTGROWTH 1; GPRIN1
GPRIN2	3	MGP43			 G PROTEIN-REGULATED INDUCER OF NEURITE OUTGROWTH 2; GPRIN2
GRIN3A	1	MGP43			 GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE 3A; GRIN3A
GRM8	2	MGP43	protein_coding	glutamate receptor, metabotropic 8 [Source:HGNC Symbol;Acc:4600]	 GLUTAMATE RECEPTOR, METABOTROPIC, 8; GRM8
GSTA2	1	MGP43	protein_coding	glutathione S-transferase alpha 2 [Source:HGNC Symbol;Acc:4627]	 GLUTATHIONE S-TRANSFERASE, ALPHA-2; GSTA2
GSTM3	1	MGP43	protein_coding	glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:4635]	 GLUTATHIONE S-TRANSFERASE, MU-3; GSTM3
GSTZ1	1	MGP43	protein_coding	glutathione transferase zeta 1 [Source:HGNC Symbol;Acc:4643]	 GLUTATHIONE S-TRANSFERASE, ZETA-1; GSTZ1
GUCA2B	1	MGP43	protein_coding	guanylate cyclase activator 2B (uroguanylin) [Source:HGNC Symbol;Acc:4683]	 GUANYLATE CYCLASE ACTIVATOR 2B; GUCA2B
HAUS1	1	MGP43			 HAUS AUGMIN-LIKE COMPLEX, SUBUNIT 1; HAUS1
HCG27	1	MGP43	c("processed_transcript", "processed_transcript", "lincRNA")	c("HLA complex group 27 [Source:HGNC Symbol;Acc:27366]", "HLA complex group 27 [Source:HGNC Symbol;Acc:27366]", "HLA complex group 27 [Source:HGNC Symbol;Acc:27366]")	
HEATR5A	1	MGP43			
HEATR7B2	1	MGP43			
HEPN1	1	MGP43			 CANCER SUSCEPTIBILITY GENE HEPN1
HLA-DPB1	1	MGP43	c("protein_coding", "protein_coding", "protein_coding")	c("major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:4940]", "major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:4940]", "major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:4940]")	c(" MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA-1; HLA-DPB1"
HLA-DPB2	2	MGP43	c("processed_transcript", "processed_transcript")	c("major histocompatibility complex, class II, DP beta 2 (pseudogene) [Source:HGNC Symbol;Acc:4941]", "major histocompatibility complex, class II, DP beta 2 (pseudogene) [Source:HGNC Symbol;Acc:4941]")	
HLA-DQB2	1	MGP43	c("protein_coding", "protein_coding", "protein_coding")	c("major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:4945]", "major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:4945]", "major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:4945]")	
HLA-DRB1	1	MGP43	c("protein_coding", "protein_coding", "protein_coding")	c("major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:4948]", "major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:4948]", "major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:4948]")	c(" MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-1; HLA-DRB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-1; HLA-DRB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-1; HLA-DRB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-1; HLA-DRB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-1; HLA-DRB1", " MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-1; HLA-DRB1")
HLA-DRB5	2	MGP43	protein_coding	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:4953]	 MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA-5; HLA-DRB5
HLA-DRB6	5	MGP43	processed_transcript	major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:4954]	
HLA-L	1	MGP43	c("processed_transcript", "processed_transcript", "processed_transcript")	c("major histocompatibility complex, class I, L (pseudogene) [Source:HGNC Symbol;Acc:4970]", "major histocompatibility complex, class I, L (pseudogene) [Source:HGNC Symbol;Acc:4970]", "major histocompatibility complex, class I, L (pseudogene) [Source:HGNC Symbol;Acc:4970]")	
HNRNPA1P10	1	MGP44			
HOMER3	1	MGP43	protein_coding	homer homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:17514]	 HOMER, DROSOPHILA, HOMOLOG OF, 3; HOMER3
HRG	1	MGP43	protein_coding	histidine-rich glycoprotein [Source:HGNC Symbol;Acc:5181]	 HISTIDINE-RICH GLYCOPROTEIN; HRG
HSP90AB4P	1	MGP43			
HSPG2	1	MGP43			 HEPARAN SULFATE PROTEOGLYCAN OF BASEMENT MEMBRANE; HSPG2
IDI2	1	MGP44			
IFI44	1	MGP43			 INTERFERON-INDUCED PROTEIN 44; IFI44
IFT88	1	MGP44			 INTRAFLAGELLAR TRANSPORT 88, CHLAMYDOMONAS, HOMOLOG OF; IFT88
IGFN1	3	MGP43			
IGLL3P	1	MGP43			
IKBKAP	1	MGP43			 INHIBITOR OF KAPPA LIGHT POLYPEPTIDE GENE ENHANCER IN B CELLS, KINASE
IL17RD	1	MGP43	protein_coding	interleukin 17 receptor D [Source:HGNC Symbol;Acc:17616]	 INTERLEUKIN 17 RECEPTOR D; IL17RD
IL31RA	1	MGP43	protein_coding	interleukin 31 receptor A [Source:HGNC Symbol;Acc:18969]	 INTERLEUKIN 31 RECEPTOR A; IL31RA
IL4R	1	MGP43	protein_coding	interleukin 4 receptor [Source:HGNC Symbol;Acc:6015]	 INTERLEUKIN 4 RECEPTOR; IL4R
IL5RA	1	MGP43			 INTERLEUKIN 5 RECEPTOR, ALPHA; IL5RA
IP6K2	1	MGP43			 INOSITOL HEXAPHOSPHATE KINASE 2; IHPK2
IQCC	1	MGP43			
IQSEC3	1	MGP43			 IQ MOTIF- AND SEC7 DOMAIN-CONTAINING PROTEIN 3; IQSEC3
ITIH5	1	MGP43	protein_coding	inter-alpha (globulin) inhibitor H5 [Source:HGNC Symbol;Acc:21449]	 INTER-ALPHA-TRYPSIN INHIBITOR, HEAVY CHAIN 5; ITIH5
JRK	2	MGP43	processed_transcript	jerky homolog (mouse) [Source:HGNC Symbol;Acc:6199]	
JSRP1	1	MGP43			 JP45, MOUSE, HOMOLOG OF
KANK3	1	MGP43	protein_coding	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:24796]	
KCNJ11	1	MGP43	protein_coding	potassium inwardly-rectifying channel, subfamily J, member 11 [Source:HGNC Symbol;Acc:6257]	 POTASSIUM CHANNEL, INWARDLY RECTIFYING, SUBFAMILY J, MEMBER 11; KCNJ11
KCNK18	1	MGP43			 POTASSIUM CHANNEL, SUBFAMILY K, MEMBER 18; KCNK18
KCNQ1DN	1	MGP43			
KCNV1	1	MGP43	protein_coding	potassium channel, subfamily V, member 1 [Source:HGNC Symbol;Acc:18861]	 POTASSIUM CHANNEL, VOLTAGE-GATED, SUBFAMILY V, MEMBER 1; KCNV1
KDM2A	1	MGP43	protein_coding	lysine (K)-specific demethylase 2A [Source:HGNC Symbol;Acc:13606]	 F-BOX AND LEUCINE-RICH REPEAT PROTEIN 11; FBXL11
KIAA0100	1	MGP43			 BREAST CANCER-OVEREXPRESSED GENE 1
KIAA0240	1	MGP43			
KIAA0564	1	MGP43			
KIAA0753	1	MGP43	protein_coding	KIAA0753 [Source:HGNC Symbol;Acc:29110]	
KIAA1024	1	MGP43	protein_coding	KIAA1024 [Source:HGNC Symbol;Acc:29172]	
KIAA1210	1	MGP43			
KIAA1217	1	MGP43			
KIAA1383	2	MGP43			
KIAA1530	1	MGP43			
KIAA1614	1	MGP43			
KIAA1683	1	MGP43			
KIAA1797	1	MGP44			
KIF24	1	MGP43			 KINESIN FAMILY MEMBER 24; KIF24
KIF25	1	MGP43			 KINESIN FAMILY MEMBER 25; KIF25
KIR2DL1	1	MGP43			c(" KILLER CELL IMMUNOGLOBULIN-LIKE RECEPTOR, TWO DOMAINS, SHORT CYTOPLASMIC", " KILLER CELL IMMUNOGLOBULIN-LIKE RECEPTOR, TWO DOMAINS, LONG CYTOPLASMIC")
KIRREL3	1	MGP43			 KIN OF IRRE-LIKE 3; KIRREL3
KLB	1	MGP43			 KLOTHO, BETA; KLB
KLHDC4	2	MGP43	protein_coding	kelch domain containing 4 [Source:HGNC Symbol;Acc:25272]	
KLHL22	1	MGP43			
KLHL7	1	MGP43	protein_coding	kelch-like 7 (Drosophila) [Source:HGNC Symbol;Acc:15646]	 KELCH-LIKE 7; KLHL7
KLK12	1	MGP43			 KALLIKREIN-RELATED PEPTIDASE 12; KLK12
KLKB1	1	MGP44	protein_coding	kallikrein B, plasma (Fletcher factor) 1 [Source:HGNC Symbol;Acc:6371]	 KALLIKREIN B, PLASMA, 1; KLKB1
KRT222	1	MGP43			
KRT32	1	MGP43	protein_coding	keratin 32 [Source:HGNC Symbol;Acc:6449]	 KERATIN 32; KRT32
KRT40	1	MGP43			
KRT71	1	MGP43			 KERATIN 71; KRT71
KRT73	1	MGP44			 KERATIN 73; KRT73
KRT79	1	MGP43			 KERATIN 79; KRT79
KRTAP10-10	1	MGP43			
KRTAP1-3	1	MGP43			 KERATIN-ASSOCIATED PROTEIN 1-3; KRTAP1-3
KRTAP4-7	1	MGP43	protein_coding	keratin associated protein 4-7 [Source:HGNC Symbol;Acc:18898]	
KRTAP5-5	1	MGP43			
KRTAP9-2	1	MGP43			
LAMA5	1	MGP43			 LAMININ, ALPHA-5; LAMA5
LARS	1	MGP44	protein_coding	leucyl-tRNA synthetase [Source:HGNC Symbol;Acc:6512]	 LEUCYL-tRNA SYNTHETASE; LARS
LASS4	1	MGP43			
LCE1F	1	MGP43	protein_coding	late cornified envelope 1F [Source:HGNC Symbol;Acc:29467]	 LATE CORNIFIED ENVELOPE PROTEIN 1F; LCE1F
LENG9	1	MGP43			
LINS	1	MGP44	protein_coding	lines homolog (Drosophila) [Source:HGNC Symbol;Acc:30922]	 LINES, DROSOPHILA, HOMOLOG OF, 1; LINS1
LMAN1	1	MGP43			 LECTIN, MANNOSE-BINDING, 1; LMAN1
LMF1	3	MGP43	protein_coding	lipase maturation factor 1 [Source:HGNC Symbol;Acc:14154]	 LIPASE MATURATION FACTOR 1; LMF1
LMO7	1	MGP44			 LIM DOMAIN ONLY 7; LMO7
LNX1;LNX1	1	MGP43			
LOC100128003	1	MGP43			
LOC100128542	1	MGP43			
LOC100128675	1	MGP43			
LOC100129066	1	MGP43			
LOC100129269	1	MGP43			
LOC100129827	1	MGP43			
LOC100130093	1	MGP43			
LOC100130331	1	MGP43			
LOC100130581	7	MGP43			
LOC100287879	1	MGP43			
LOC100288428	2	MGP43			
LOC100289673	1	MGP43			
LOC100379224	1	MGP43			
LOC100499467	2	MGP43			
LOC100506023	1	MGP43			
LOC116437	1	MGP43			
LOC149773	2	MGP43			
LOC151174	1	MGP43			
LOC220980	1	MGP43			
LOC283314	1	MGP43			
LOC283922	1	MGP43			
LOC284751	1	MGP43			
LOC285103	1	MGP43			
LOC285375	3	MGP43			
LOC285441	1	MGP43			
LOC285501	1	MGP43			
LOC285692	1	MGP43			
LOC285768	2	MGP43			
LOC285830	1	MGP43			
LOC285972	1	MGP43			
LOC340357	1	MGP43			
LOC344595	1	MGP43			
LOC344967	1	MGP43			
LOC348021	1	MGP43			
LOC348840	1	MGP43			
LOC387723	1	MGP43			
LOC387895	1	MGP43			
LOC400550	1	MGP43			
LOC400680	1	MGP43			
LOC400759	1	MGP43			
LOC401164	1	MGP43			
LOC442132	1	MGP43			
LOC57653	1	MGP43			
LOC646214	1	MGP43			
LOC653486,SCGB1C1	1	MGP43			
LOC728392	1	MGP43			
LOC728743	1	MGP43			
LOC729668	2	MGP43			
LOC91149	1	MGP43			
LOC91316	1	MGP43			
LOC91948	1	MGP43			
LPO	1	MGP43			 LACTOPEROXIDASE; LPO
LRFN4	1	MGP43	protein_coding	leucine rich repeat and fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:28456]	 LEUCINE-RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN-CONTAINING PROTEIN
LRP10	1	MGP41			 LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 10; LRP10
LRRC23	1	MGP43	protein_coding	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:19138]	
LRRC29	1	MGP43			
LRRK2	1	MGP44			 LEUCINE-RICH REPEAT KINASE 2; LRRK2
LRTOMT	1	MGP43	protein_coding	leucine rich transmembrane and 0-methyltransferase domain containing [Source:HGNC Symbol;Acc:25033]	 LEUCINE-RICH TRANSMEMBRANE O-METHYLTRANSFERASE; LRTOMT
LSM5	1	MGP43			 LSM5 PROTEIN; LSM5
LTBP4	1	MGP43	protein_coding	latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:6717]	 LATENT TRANSFORMING GROWTH FACTOR-BETA-BINDING PROTEIN 4; LTBP4
LTF	1	MGP43	protein_coding	lactotransferrin [Source:HGNC Symbol;Acc:6720]	 LACTOTRANSFERRIN; LTF
MAGI1	1	MGP43			 MEMBRANE-ASSOCIATED GUANYLATE KINASE, WW AND PDZ DOMAINS-CONTAINING,
MAPK11	1	MGP43			 MITOGEN-ACTIVATED PROTEIN KINASE 11; MAPK11
MASP1	1	MGP43			 MANNAN-BINDING LECTIN SERINE PROTEASE 1; MASP1
MAVS	1	MGP43	protein_coding	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:29233]	 MITOCHONDRIAL ANTIVIRAL SIGNALING PROTEIN; MAVS
MC1R	1	MGP43	protein_coding	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor) [Source:HGNC Symbol;Acc:6929]	 MELANOCORTIN 1 RECEPTOR; MC1R
MCM3AP-AS1	1	MGP43	lincRNA	MCM3AP antisense RNA 1 (non-protein coding) [Source:HGNC Symbol;Acc:16417]	
MCPH1	1	MGP43			 MCPH1 GENE; MCPH1
MEG3	1	MGP43	lincRNA	maternally expressed 3 (non-protein coding) [Source:HGNC Symbol;Acc:14575]	
MGC14436	1	MGP43			
MGC27382	1	MGP43			
MIA3	1	MGP43	protein_coding	melanoma inhibitory activity family, member 3 [Source:HGNC Symbol;Acc:24008]	 MELANOMA INHIBITORY ACTIVITY FAMILY, MEMBER 3; MIA3
MIB2	1	MGP43	protein_coding	mindbomb homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:30577]	 MINDBOMB, DROSOPHILA, HOMOLOG OF, 2; MIB2
MIR1256	1	MGP43	miRNA	microRNA 1256 [Source:HGNC Symbol;Acc:35321]	
MIR548F3,MIR548T	1	MGP43			
MIR548F5	2	MGP43	miRNA	microRNA 548f-5 [Source:HGNC Symbol;Acc:35309]	
MIR548H3	1	MGP43	miRNA	microRNA 548h-3 [Source:HGNC Symbol;Acc:35344]	
MIR548Q	1	MGP43			
MIR548T	1	MGP43			
MIR596	1	MGP43	miRNA	microRNA 596 [Source:HGNC Symbol;Acc:32852]	
MKL1	1	MGP43	protein_coding	megakaryoblastic leukemia (translocation) 1 [Source:HGNC Symbol;Acc:14334]	 MEGAKARYOBLASTIC LEUKEMIA 1 GENE; MKL1
MKNK1	1	MGP43	protein_coding	MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:7110]	 MITOGEN-ACTIVATED PROTEIN KINASE-INTERACTING SERINE/THREONINE KINASE
MLKL	1	MGP43			
MLX	1	MGP43	protein_coding	MAX-like protein X [Source:HGNC Symbol;Acc:11645]	 MAX-LIKE PROTEIN X; MLX
MORN2	1	MGP43			
MPDU1	1	MGP43	protein_coding	mannose-P-dolichol utilization defect 1 [Source:HGNC Symbol;Acc:7207]	 MANNOSE-P-DOLICHOL UTILIZATION DEFECT 1; MPDU1
MPP3	1	MGP43	protein_coding	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3) [Source:HGNC Symbol;Acc:7221]	 MEMBRANE PROTEIN, PALMITOYLATED 3; MPP3
MRPL53	1	MGP43	protein_coding	mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:16684]	 MITOCHONDRIAL RIBOSOMAL PROTEIN L53; MRPL53
MRPS30	1	MGP44			 MITOCHONDRIAL RIBOSOMAL PROTEIN S30; MRPS30
MSH6	1	MGP44	protein_coding	mutS homolog 6 (E. coli) [Source:HGNC Symbol;Acc:7329]	 MutS, E. COLI, HOMOLOG OF, 6; MSH6
MSL2	1	MGP44			
MST1P2	2	MGP43			
MSX2	1	MGP43	protein_coding	msh homeobox 2 [Source:HGNC Symbol;Acc:7392]	 MUSCLE SEGMENT HOMEOBOX, DROSOPHILA, HOMOLOG OF, 2; MSX2
MTNR1A	1	MGP44			 MELATONIN RECEPTOR 1A; MTNR1A
MUC13;MUC13	1	MGP43			
MUC16	3	MGP43			 MUCIN 16; MUC16
MUC20	1	MGP43			 MUCIN 20, CELL SURFACE-ASSOCIATED; MUC20
MUC4	2	MGP43			 MUCIN 4, TRACHEOBRONCHIAL; MUC4
MUC5B	2	MGP43			 MUCIN 5, SUBTYPE B, TRACHEOBRONCHIAL; MUC5B
MUDENG	1	MGP43			
MUM1	1	MGP43	protein_coding	melanoma associated antigen (mutated) 1 [Source:HGNC Symbol;Acc:29641]	
MYBPC2	1	MGP43			 MYOSIN-BINDING PROTEIN C, FAST TYPE; MYBPC2
MYH13	2	MGP43			 MYOSIN, SKELETAL MUSCLE, HEAVY CHAIN 13; MYH13
MYH9	1	MGP43			 MYOSIN, HEAVY CHAIN 9, NONMUSCLE; MYH9
MYO10	1	MGP44			 MYOSIN X; MYO10
MYO15B	1	MGP43	protein_coding	myosin XVB pseudogene [Source:HGNC Symbol;Acc:14083]	
MYO19	1	MGP41			
MYO3A	1	MGP43	protein_coding	myosin IIIA [Source:HGNC Symbol;Acc:7601]	 MYOSIN IIIA; MYO3A
NAT8B	1	MGP43			
NBPF3	1	MGP43	protein_coding	neuroblastoma breakpoint family, member 3 [Source:HGNC Symbol;Acc:25076]	 NEUROBLASTOMA BREAKPOINT FAMILY, MEMBER 3; NBPF3
NBPF9	2	MGP43			
NCKAP5	1	MGP43			 NCK-ASSOCIATED PROTEIN 5
NCOA3	1	MGP43			 NUCLEAR RECEPTOR COACTIVATOR 3; NCOA3
NCRNA00032	2	MGP43			
NCRNA00168	1	MGP44	processed_transcript	non-protein coding RNA 168 [Source:HGNC Symbol;Acc:23299]	
NCRNA00174	1	MGP43			
NEURL3	2	MGP43			
NFKBIE	1	MGP43	protein_coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon [Source:HGNC Symbol;Acc:7799]	 NUCLEAR FACTOR OF KAPPA LIGHT CHAIN GENE ENHANCER IN B CELLS INHIBITOR,
NICN1	1	MGP43			 NICOLIN 1; NICN1
NID2	1	MGP44	protein_coding	nidogen 2 (osteonidogen) [Source:HGNC Symbol;Acc:13389]	 NIDOGEN 2; NID2
NIPAL4	1	MGP43	protein_coding	NIPA-like domain containing 4 [Source:HGNC Symbol;Acc:28018]	 NIPA-LIKE DOMAIN-CONTAINING 4; NIPAL4
NISCH	1	MGP44			
NKAIN4	1	MGP43	protein_coding	Na+/K+ transporting ATPase interacting 4 [Source:HGNC Symbol;Acc:16191]	 Na+/K+ TRANSPORTING ATPase-INTERACTING 4; NKAIN4
NLRC3	1	MGP43			
NOMO2	1	MGP43	protein_coding	NODAL modulator 2 [Source:HGNC Symbol;Acc:22652]	 NODAL MODULATOR 2; NOMO2
NOV	1	MGP43	protein_coding	nephroblastoma overexpressed gene [Source:HGNC Symbol;Acc:7885]	 NEPHROBLASTOMA OVEREXPRESSED GENE; NOV
NOX5	1	MGP41			 NADPH OXIDASE 5; NOX5
NPHP3-ACAD11	1	MGP44			
NRM	1	MGP44	protein_coding	nurim (nuclear envelope membrane protein) [Source:HGNC Symbol;Acc:8003]	
NUDT7	1	MGP43			 NUCLEOSIDE DIPHOSPHATE-LINKED MOIETY X MOTIF 7; NUDT7
NXF5	2	MGP43			 NUCLEAR RNA EXPORT FACTOR 5; NXF5
OAF	1	MGP43			
OGFOD1	1	MGP43			
OPLAH	2	MGP43			
OPN1LW	1	MGP43			 OPSIN 1, LONG-WAVE-SENSITIVE; OPN1LW
OR10H1	1	MGP43	protein_coding	olfactory receptor, family 10, subfamily H, member 1 [Source:HGNC Symbol;Acc:8172]	
OR11H12	1	MGP43			
OR1A1	1	MGP43			
OR1D5	1	MGP43	pseudogene	olfactory receptor, family 1, subfamily D, member 5 [Source:HGNC Symbol;Acc:8186]	
OR1L4	1	MGP43			
OR3A4	1	MGP43	pseudogene	olfactory receptor, family 3, subfamily A, member 4 [Source:HGNC Symbol;Acc:15510]	
OR4L1	2	MGP43	protein_coding	olfactory receptor, family 4, subfamily L, member 1 [Source:HGNC Symbol;Acc:15356]	
OR4N3P	1	MGP43			
OR5E1P	1	MGP43	pseudogene	olfactory receptor, family 5, subfamily E, member 1 pseudogene [Source:HGNC Symbol;Acc:8342]	
OR5R1	1	MGP43	protein_coding	olfactory receptor, family 5, subfamily R, member 1 [Source:HGNC Symbol;Acc:14841]	
OR5W2	1	MGP43	protein_coding	olfactory receptor, family 5, subfamily W, member 2 [Source:HGNC Symbol;Acc:15299]	
OR8K3	1	MGP43	protein_coding	olfactory receptor, family 8, subfamily K, member 3 [Source:HGNC Symbol;Acc:15313]	
OSTCL	1	MGP43			
OTUB1	1	MGP44	protein_coding	OTU domain, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:23077]	 OTU DOMAIN-CONTAINING UBIQUITIN ALDEHYDE-BINDING PROTEIN 1; OTUB1
OTX1	1	MGP43	protein_coding	orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:8521]	 ORTHODENTICLE, DROSOPHILA, HOMOLOG OF, 1; OTX1
OXA1L	1	MGP43			 OXIDASE, CYTOCHROME c, ASSEMBLY 1-LIKE; OXA1L
P2RX3	1	MGP43	protein_coding	purinergic receptor P2X, ligand-gated ion channel, 3 [Source:HGNC Symbol;Acc:8534]	 PURINERGIC RECEPTOR P2X, LIGAND-GATED ION CHANNEL, 3; P2RX3
P4HTM	1	MGP43	protein_coding	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:HGNC Symbol;Acc:28858]	
PABPC1	2	MGP43	protein_coding	poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]	 POLYADENYLATE-BINDING PROTEIN, CYTOPLASMIC, 1; PABPC1
PANX3	1	MGP43			 PANNEXIN 3; PANX3
PARP10	1	MGP43	protein_coding	poly (ADP-ribose) polymerase family, member 10 [Source:HGNC Symbol;Acc:25895]	 POLY(ADP-RIBOSE) POLYMERASE 10; PARP10
PARP15	1	MGP43			 POLY(ADP-RIBOSE) POLYMERASE 15; PARP15
PARVG	1	MGP43	protein_coding	parvin, gamma [Source:HGNC Symbol;Acc:14654]	 PARVIN, GAMMA; PARVG
PAX3	1	MGP43	protein_coding	paired box 3 [Source:HGNC Symbol;Acc:8617]	 PAIRED BOX GENE 3; PAX3
PBX3	1	MGP43	protein_coding	pre-B-cell leukemia homeobox 3 [Source:HGNC Symbol;Acc:8634]	 PRE-B-CELL LEUKEMIA TRANSCRIPTION FACTOR 3; PBX3
PCDH8	1	MGP43			 PROTOCADHERIN 8; PCDH8
PCDHA2	1	MGP43	protein_coding	protocadherin alpha 2 [Source:HGNC Symbol;Acc:8668]	 PROTOCADHERIN-ALPHA 2; PCDHA2
PCDHA5	1	MGP43	protein_coding	protocadherin alpha 5 [Source:HGNC Symbol;Acc:8671]	 PROTOCADHERIN-ALPHA 5; PCDHA5
PCDHAC1	1	MGP43			 PROTOCADHERIN-ALPHA, SUBFAMILY C, MEMBER 1; PCDHAC1
PCDHGA1	1	MGP43			 PROTOCADHERIN-GAMMA, SUBFAMILY A, MEMBER 1; PCDHGA1
PCK1	1	MGP43			 PHOSPHOENOLPYRUVATE CARBOXYKINASE 1, SOLUBLE; PCK1
PCMTD1	2	MGP43			
PCNT	1	MGP43			 PERICENTRIN; PCNT
PCNXL2	1	MGP43			
PCYOX1	1	MGP43			 PRENYLCYSTEINE OXIDASE 1; PCYOX1
PDE4DIP	1	MGP43			 PHOSPHODIESTERASE 4D-INTERACTING PROTEIN; PDE4DIP
PEG3	1	MGP44			
PEX13	1	MGP43	protein_coding	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:8855]	 PEROXISOME BIOGENESIS FACTOR 13; PEX13
PHC1	1	MGP43			 POLYHOMEOTIC-LIKE 1; PHC1
PHF2P1	2	MGP43			
PHLPP2	1	MGP43			 PH DOMAIN AND LEUCINE-RICH REPEAT PROTEIN PHOSPHATASE-LIKE; PHLPPL
PIGL	1	MGP43	protein_coding	phosphatidylinositol glycan anchor biosynthesis, class L [Source:HGNC Symbol;Acc:8966]	 PHOSPHATIDYLINOSITOL GLYCAN, CLASS L; PIGL
PIGW	1	MGP41			 PHOSPHATIDYLINOSITOL GLYCAN, CLASS W; PIGW
PKD1L2;PKD1L2	1	MGP43			
PKD1L3	1	MGP43			
PLA2G3	1	MGP43			 PHOSPHOLIPASE A2, GROUP III; PLA2G3
PLA2G4F	1	MGP43			
PLCD1	1	MGP43	protein_coding	phospholipase C, delta 1 [Source:HGNC Symbol;Acc:9060]	 PHOSPHOLIPASE C, DELTA-1; PLCD1
PLCD3	1	MGP43			 PHOSPHOLIPASE C, DELTA-3; PLCD3
PLCL2	1	MGP43			
PLCXD1	1	MGP43	c("protein_coding", "protein_coding")	c("phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:23148]", "phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:HGNC Symbol;Acc:23148]")	
PLEC	1	MGP44	protein_coding	plectin [Source:HGNC Symbol;Acc:9069]	 PLECTIN 1; PLEC1
PLEKHG2	1	MGP43	protein_coding	pleckstrin homology domain containing, family G (with RhoGef domain) member 2 [Source:HGNC Symbol;Acc:29515]	 PLECKSTRIN HOMOLOGY DOMAIN-CONTAINING PROTEIN, FAMILY G, MEMBER 2;
PLEKHG4	1	MGP43			 PLECKSTRIN HOMOLOGY DOMAIN-CONTAINING PROTEIN, FAMILY G, MEMBER 4;
PLEKHG4B	1	MGP43			
PLEKHG5	2	MGP43			 PLECKSTRIN HOMOLOGY DOMAIN-CONTAINING PROTEIN, FAMILY G, MEMBER 5;
PLIN4	1	MGP43			 PERILIPIN 4; PLIN4
PLXNB2	1	MGP43			 PLEXIN B2; PLXNB2
